Item1,Item2,Item3,Item4,Item5
E,F,F,D,B
B,D,A,C,B
C,E,D,E,B
D,B,A,C,A
F,D,A,A,F
C,A,D,F,F
F,A,C,A,F
B,E,F,A,D
E,C,A,A,D
B,B,C,E,E
A,D,F,A,C
B,E,E,D,A
E,F,C,C,C
C,E,A,C,B
E,E,D,A,E
E,A,B,F,A
C,D,A,E,C
A,E,A,D,C
A,A,B,A,B
D,E,F,D,C
B,D,D,B,D
E,D,B,E,F
A,F,B,E,E
A,B,D,F,A
D,D,C,D,C
D,C,C,B,A
F,E,F,E,B
E,A,E,D,B
A,F,E,E,E
D,A,E,B,D
F,D,E,E,B
A,C,F,D,B
B,F,B,B,D
D,E,D,A,E
F,A,B,D,A
E,A,B,F,C
C,C,E,F,E
B,C,A,F,C
F,C,B,E,C
B,B,A,F,C
A,F,B,B,F
D,E,A,D,A
B,B,D,A,F
F,C,B,E,C
B,A,B,D,A
E,C,E,F,F
C,B,D,E,C
A,F,C,B,D
A,F,F,B,C
A,F,E,F,C
C,B,D,C,E
B,D,E,C,F
D,D,A,F,B
F,B,E,E,D
B,D,B,D,C
F,E,C,E,E
C,A,F,C,C
E,F,A,D,E
F,B,E,E,F
B,B,B,F,C
D,D,A,F,E
E,B,C,A,B
F,F,D,C,D
B,E,C,D,F
F,E,C,A,D
F,E,E,B,A
D,A,C,D,A
D,B,D,C,E
F,D,A,B,B
B,D,A,A,A
A,D,F,A,E
D,D,B,F,D
A,F,D,F,D
F,E,F,B,B
C,A,F,A,A
D,E,D,B,E
F,C,D,E,F
E,F,C,B,D
F,B,C,E,E
A,B,E,C,D
A,D,A,A,F
F,B,A,C,F
E,F,B,D,B
F,D,D,E,A
D,C,F,C,F
D,A,C,A,F
C,B,D,B,B
A,D,D,B,E
A,B,C,C,A
D,D,C,E,B
E,D,C,E,B
D,C,F,B,B
F,E,F,E,C
A,E,D,E,F
C,B,F,C,F
F,F,A,B,C
C,C,D,E,E
B,C,D,C,A
D,E,F,C,B
A,B,D,C,D